mine_id,state,mine_type,shift,workers_underground,methane_ppm,co_ppm,water_seepage_m3h,roof_stability,pillar_stress_kpa,ventilation_cfm,incident_history,near_miss_last_30d,equipment_maintenance_days,target_incident
MINE000,Odisha,Underground,Day,52,1588.8189185344188,30.3102609489421,0.43689489480226185,51.47783529869924,5787.515537408815,18361.006632602846,0,1,8.650429769214375,0
MINE001,Telangana,Underground,Day,46,867.8529549592645,26.48876803917691,2.3428521781591547,81.85819595538771,3475.920631153066,23557.33549659102,1,2,19.138337293784513,0
MINE002,Jharkhand,Underground,Day,38,1090.3482189044203,36.81567716419146,0.9898272739634476,69.09926553383015,5658.392000593352,32577.069076741045,0,4,5.830043958817426,0
MINE003,Odisha,Opencast,Day,53,1154.6102339302433,48.436540528126244,1.0749375114808397,63.56373074095629,5345.203451824895,30732.43579366519,0,1,6.6170499408855035,0
MINE004,Odisha,Underground,Day,44,781.2632393422545,33.70746644588403,1.2666551624294744,63.59454538175804,6722.448053776404,19438.362651647098,0,0,0.49996603115582755,0
MINE005,Telangana,Underground,Day,47,1377.40477252752,34.4881309647162,0.9168095396959194,69.09582626950485,3998.6603849836574,19161.212920500395,0,0,13.990292401280207,0
MINE006,Jharkhand,Opencast,Day,49,982.8029004772172,26.306900244643824,0.21209923322803498,80.73649973538804,3182.866821269128,31373.419248397433,0,0,2.3526944579932256,0
MINE007,Jharkhand,Opencast,Day,49,1141.3828946468927,23.584742466330518,0.741060430035592,55.31755198206723,4066.0462687529453,19321.820476210854,0,2,6.6825139570195775,0
MINE008,Odisha,Opencast,Night,41,1064.4151884264368,20.242045559950988,2.1797076764005876,69.0432700264822,6222.685191796349,27546.47661821004,1,2,27.08012001831567,0
MINE009,Chhattisgarh,Opencast,Night,52,963.1984482840977,16.73888008285458,2.19193797933938,74.37792333001279,2305.9129429896443,21919.64392331838,0,3,6.335769801261952,0
MINE010,Odisha,Underground,Night,49,1197.8865043558335,18.129859003005027,0.6743730435962688,58.51441163202211,2017.9491414827612,33085.22462260841,0,0,9.029498307918674,0
MINE011,Odisha,Underground,Night,41,1135.3171264295934,11.494440356570168,1.2327524133327092,100.0,4607.274334717936,21147.876004310605,0,0,4.12554253870312,0
MINE012,Odisha,Opencast,Night,50,1088.4426353164004,24.241285493149768,0.42997190043668776,62.19756779907988,3968.892848671013,30716.807651029143,1,3,0.4358527229209408,0
MINE013,Odisha,Opencast,Day,50,981.4615134958972,8.153324227736132,0.4723868674992642,64.95844629549764,4509.273471810821,25924.293270301823,0,0,11.18254289313513,0
MINE014,Telangana,Underground,Day,50,1295.8574012348865,26.90916524143711,0.046633650074005106,60.32538075266253,5634.374125483038,26260.974271171435,1,1,0.24938183816814022,0
MINE015,Jharkhand,Underground,Day,48,1696.0851805476855,24.636693919576583,4.541137265524326,100.0,3836.9167846573773,15148.457093242996,3,2,8.443175824372513,0
MINE016,Telangana,Underground,Night,53,1241.9661698517382,26.469352983866877,0.47323449317878186,83.29357842899222,2252.393002883255,13985.433233971407,0,0,0.1623184992006294,0
MINE017,Telangana,Opencast,Night,34,1498.8354644733386,19.778684299800076,0.5163342496225404,60.95111990634537,6953.377868639933,23897.17029866343,0,0,13.879011319949148,0
MINE018,Telangana,Opencast,Day,33,782.9334224539612,55.768603701805034,0.655901308724793,91.59347338289953,3303.3260550734685,26234.53031708306,0,0,1.2008016765980878,0
MINE019,Odisha,Underground,Night,43,1247.3284317881307,38.601159001803126,0.2725745370041452,78.01048041433317,3229.155453585483,19374.010861311384,3,0,5.054738106409671,0
MINE020,Chhattisgarh,Underground,Day,42,870.7895043086801,12.554574999152772,2.039211588360606,78.85880131667253,5824.4640164671155,19556.53294761829,1,1,6.364349204559498,0
MINE021,Jharkhand,Underground,Night,45,756.9225217404296,27.328680874268983,0.15623219477726372,69.83284186871322,4038.6130547501784,27807.363149130666,2,0,4.281556281086488,0
MINE022,Chhattisgarh,Opencast,Day,33,978.1885777622891,18.919938570626762,0.2882082927758412,63.7587601956454,4423.932177558227,27814.272402285653,0,1,2.916710409321618,1
MINE023,Telangana,Opencast,Day,51,1557.5698003240718,14.85520273292586,2.0699048939818567,80.06649148581901,5079.348148872382,24311.294698060366,3,2,4.415339482549228,0
MINE024,Telangana,Opencast,Day,30,1485.0047486008937,11.599279288760652,0.8300027294625723,66.82369155006614,5800.299723731995,28901.008605930376,0,1,2.611823245294501,0
MINE025,Chhattisgarh,Underground,Day,43,1272.90141661632,29.32216690759254,2.4616456339871884,100.0,4099.847168181874,19128.988521399267,0,3,4.035298065543835,0
MINE026,Chhattisgarh,Underground,Day,39,740.1898320330208,18.186197649304262,1.630289520904232,55.960633421353435,6323.942407097159,23220.325414565144,2,1,3.112130642604092,0
MINE027,Chhattisgarh,Underground,Day,43,1141.115804583619,34.678260240252044,0.5914854059400115,98.04235159282418,2000.0,33239.388028918365,2,2,5.846279598928989,0
MINE028,Telangana,Underground,Night,41,1290.5100026705206,34.93782214530439,2.104380999426205,73.330217268033,5411.744684343693,25341.610649699087,0,2,1.9019644254439774,0
MINE029,Telangana,Opencast,Day,39,1252.6608688735794,38.739143852114495,0.2472157147396446,79.48628601031659,3492.5669303788113,25631.562572934996,0,2,30.0,0
MINE030,Jharkhand,Opencast,Day,42,646.8619249557763,16.476132339258964,1.5375111288048893,87.49736649944151,6146.72557992959,36529.7329298387,0,1,4.864220219040495,0
MINE031,Jharkhand,Opencast,Night,36,932.9046455940385,29.753656106920104,1.1494774989460168,65.54626057493346,4670.453374596655,18003.289170756147,0,3,1.511108517101,0
MINE032,Telangana,Opencast,Night,45,1180.776670755385,31.324542166423008,0.6236041577257369,87.96372577047954,3692.5136015887183,28982.15183321055,0,0,4.538110159086651,1
MINE033,Chhattisgarh,Underground,Day,47,1360.8872728551569,20.25821824896035,1.8527073767231792,34.38684216928234,5295.409311625959,33319.9313990405,3,0,14.091127884670017,0
MINE034,Chhattisgarh,Opencast,Day,33,541.1616536700161,17.28228042607125,4.101064422389638,64.20015700167092,5571.826016648702,23375.71036750727,1,1,0.15433652791068495,0
MINE035,Jharkhand,Opencast,Day,39,1151.3628073560424,41.09520665775973,13.633453528651135,61.13905788988402,5270.272947430366,29298.15393427423,1,1,7.966293126740673,0
MINE036,Telangana,Opencast,Day,52,1242.9146309636858,27.274958757320537,1.8717768809266795,56.19740981442358,3264.3645124403274,20089.902513945475,1,1,5.558012989596558,0
MINE037,Jharkhand,Underground,Night,46,1454.883596554864,31.35967750711738,1.03739933343646,71.77567742881573,3919.1794516534983,21566.338022163243,1,2,1.3005802812484821,0
MINE038,Jharkhand,Underground,Day,37,1407.857275271231,16.779239881720727,0.510319022850928,80.78624952272543,4495.112595454278,26924.83208023817,1,0,11.906132102152224,0
